applicationcode	controlledobjectname	controlledobjecttype	controlledsourcename	businesstermname	controlname	qualitydimension	acceptancethreshold	executiontimestamp	businessdate	controlleditemcount	okcount	kocount	controltool	cdqprofile	controllink	applicationcode	controlledobjectname	controlledobjecttype	controlledsourcename	businesstermname	controlname	qualitydimension	acceptancethreshold
ESG	[ecin_energy_consumption_information_vw.climatequestionnaireid]	Table	ecin_energy_consumption_information_vw	NULL	KQI_ESG_COM_ECIN_climatequestionnaireid	Completeness	100	2026-05-19T06:59:48.002000	2026-05-19T09:27:59.493035	12568	12568	0	CDQ	Profil_ESG_ecin_energy_consumption_information_vw	https://cdgc.dm-em.informaticacloud.com/asset/2e858e3f-91d2-4ba4-9404-f2ae6bae218f	ESG	[ecin_energy_consumption_information_vw.climatequestionnaireid]	Table	ecin_energy_consumption_information_vw	NULL	KQI_ESG_COM_ECIN_climatequestionnaireid	Completeness	100
ESG	[nfin_non_financial_information_vw.climatequestionnaireid]	Table	nfin_non_financial_information_vw	NULL	KQI_ESG_COM_NFIN_climatequestionnaireid	Completeness	100	2026-05-19T06:49:19.023000	2026-05-19T09:28:56.600524	10243	10243	0	CDQ	Profile_ESG_nfin_non_financial_information	https://cdgc.dm-em.informaticacloud.com/asset/2fca5389-e411-4fc2-918f-60fc820b084b	ESG	[nfin_non_financial_information_vw.climatequestionnaireid]	Table	nfin_non_financial_information_vw	NULL	KQI_ESG_COM_NFIN_climatequestionnaireid	Completeness	100
ESG	[eias_esginvest_association_vw.organisationpartyid]	Table	eias_esginvest_association_vw	NULL	KQI_ESG_CON_EIAS_organisationpartyid_Type_Taille	Consistency	99.9	2026-05-19T06:39:31.813000	2026-05-19T09:39:29.818148	3326	3326	0	CDQ	Profil_ESG_eias_esginvest_association_vw	https://cdgc.dm-em.informaticacloud.com/asset/39b7cff5-8460-449a-aa1b-2c427f494de5	ESG	[eias_esginvest_association_vw.organisationpartyid]	Table	eias_esginvest_association_vw	NULL	KQI_ESG_CON_EIAS_organisationpartyid_Type_Taille	Consistency	99.9
mkd	[s_comp_company.d_regis]	Table	s_comp_company	NULL	kqi_mkd_s_comp_altares_com_d_regis	Completeness	95	2026-05-19T08:35:47.837000	2026-05-19T09:27:09.972859	12716	3582	9134	CDQ	profile_mkd_mom_s_comp_company_altares	https://cdgc.dm-em.informaticacloud.com/asset/fec87685-47bc-407c-a552-85fe46128b61	mkd	[s_comp_company.d_regis]	Table	s_comp_company	NULL	kqi_mkd_s_comp_altares_com_d_regis	Completeness	95
ESG	[DIFF_gepe_governance_environmental_performance_vw_topic.climatequestionnaireid_vw]	Table	DIFF_gepe_governance_environmental_performance_vw_topic	NULL	KQI_ESG_COM_VAR_gepe_governance_environmental_performance	Completeness	100	2026-05-19T06:48:38.418000	2026-05-19T09:28:20.272940	740	740	0	CDQ	Profil_ESG_DIFF_gepe_governance_environmental_performance	https://cdgc.dm-em.informaticacloud.com/asset/737c0c62-2d5d-47c2-8f2a-a79017fc4de1	ESG	[DIFF_gepe_governance_environmental_performance_vw_topic.climatequestionnaireid_vw]	Table	DIFF_gepe_governance_environmental_performance_vw_topic	NULL	KQI_ESG_COM_VAR_gepe_governance_environmental_performance	Completeness	100
ESG	[aceg_avoided_carbon_emission_green_building.carbonintensity]	Table	aceg_avoided_carbon_emission_green_building	NULL	KQI_ESG_CON_ACEG_carbonintensity_Type	Consistency	100	2026-05-19T06:47:28.136000	2026-05-19T09:36:01.328418	1567	1567	0	CDQ	Profile_ESG_aceg_avoided_carbon_emission_green_building_2	https://cdgc.dm-em.informaticacloud.com/asset/50653dd5-ec8a-4db2-8b86-a1f72e2dda6a	ESG	[aceg_avoided_carbon_emission_green_building.carbonintensity]	Table	aceg_avoided_carbon_emission_green_building	NULL	KQI_ESG_CON_ACEG_carbonintensity_Type	Consistency	100
mkd	[s_comp_company.c_crcy_m_shar_captl]	Table	s_comp_company	NULL	kqi_mkd_s_comp_societeinfo_com_c_crcy_m_shar_captl	Completeness	95	2026-05-19T08:36:52.523000	2026-05-19T09:27:25.439700	12390	0	12390	CDQ	profile_mkd_mom_s_comp_company_societeinfo	https://cdgc.dm-em.informaticacloud.com/asset/08b95a90-1559-4fb0-93fa-07cc54e4425c	mkd	[s_comp_company.c_crcy_m_shar_captl]	Table	s_comp_company	NULL	kqi_mkd_s_comp_societeinfo_com_c_crcy_m_shar_captl	Completeness	95
CLI	[CLT_cli_ret_organisationparty_topic_vw.csv.b_integrity_naf]	File	CLT_cli_ret_organisationparty_topic_vw.csv	NULL	KQI_CLI_INT_NAF_001	Consistency	100	2026-05-19T09:09:16.912000	2026-05-19T09:31:53.056702	3378206	3378206	0	CDQ	Profile_CLI_PartyRepository_INT	https://cdgc.dm-em.informaticacloud.com/asset/fa31346f-bd2b-4274-a197-3f4970f45490	CLI	[CLT_cli_ret_organisationparty_topic_vw.csv.b_integrity_naf]	File	CLT_cli_ret_organisationparty_topic_vw.csv	NULL	KQI_CLI_INT_NAF_002	Consistency	100
mkd	[s_leag_legal_agent.l_strt_type]	Table	s_leag_legal_agent	NULL	kqi_mkd_s_leag_com_l_strt_type	Completeness	95	2026-05-19T08:37:20.712000	2026-05-19T09:27:29.955648	211	210	1	CDQ	profile_mkd_mom_s_leag_legal_agent	https://cdgc.dm-em.informaticacloud.com/asset/03ca1ba1-88ac-416b-8621-49e62e134b20	mkd	[s_leag_legal_agent.l_strt_type]	Table	s_leag_legal_agent	NULL	kqi_mkd_s_leag_com_l_strt_type	Completeness	95
ESG	[aceg_avoided_carbon_emission_green_building.energyconsumptionunit]	Table	aceg_avoided_carbon_emission_green_building	NULL	KQI_ESG_CON_ACEG_energyconsumptionunit	Consistency	100	2026-05-19T06:47:28.136000	2026-05-19T09:36:01.416397	1567	1567	0	CDQ	Profile_ESG_aceg_avoided_carbon_emission_green_building_2	https://cdgc.dm-em.informaticacloud.com/asset/1257b710-051e-4f28-a77b-827c3a014fc2	ESG	[aceg_avoided_carbon_emission_green_building.energyconsumptionunit]	Table	aceg_avoided_carbon_emission_green_building	NULL	KQI_ESG_CON_ACEG_energyconsumptionunit	Consistency	100
